Year,CensusBlock,City,State,HouseholdIncome,HouseholdIncomeMedian
2017,13121006100,Atlanta,GA,29276,8313
2017,13121004300,Atlanta,GA,28287,9796
2017,13121006000,Atlanta,GA,35549,4618
2017,13121004400,Atlanta,GA,18030,6762
2017,13121005800,Atlanta,GA,31625,10089
2017,13121005700,Atlanta,GA,19698,3498
2017,13121004800,Atlanta,GA,16413,5700
2017,13121005502,Atlanta,GA,19469,8903
2017,13121004900,Atlanta,GA,77875,14633
2017,13121005501,Atlanta,GA,30469,8765
2017,13121005300,Atlanta,GA,93456,13460
2017,13121005000,Atlanta,GA,79250,8846
2017,13121005200,Atlanta,GA,93580,12020
2016,13121001600,Atlanta,GA,64412,14161
2016,13121009404,Atlanta,GA,70970,11888
2016,13089020700,Atlanta,GA,51339,7530
2016,13121008102,Atlanta,GA,22673,3340
2016,13121000200,Atlanta,GA,106045,17937
2016,13121001700,Atlanta,GA,54348,3771
2016,13121010303,Atlanta,GA,61804,10635
2016,13121008101,Atlanta,GA,28924,3901
2016,13121009403,Atlanta,GA,42708,7709
2016,13121008000,Atlanta,GA,40685,6851
2016,13121001800,Atlanta,GA,32014,8275
2016,13089020200,Atlanta,GA,95809,20591
2016,13121009402,Atlanta,GA,64342,6746
2016,13121007900,Atlanta,GA,56085,6785
2016,13121000400,Atlanta,GA,92361,27837
2016,13121001900,Atlanta,GA,58693,16230
2016,13121009900,Atlanta,GA,133438,39843
2016,13121007808,Atlanta,GA,11715,1863
2016,13089020400,Atlanta,GA,77000,11053
2016,13121007807,Atlanta,GA,18841,5328
2016,13121002100,Atlanta,GA,38068,8898
2016,13121009300,Atlanta,GA,88389,17316
2016,13089020801,Atlanta,GA,80625,25667
2016,13121007806,Atlanta,GA,27174,8155
2016,13121000500,Atlanta,GA,92176,22945
2016,13121002300,Atlanta,GA,26793,5123
2016,13121006602,Atlanta,GA,17857,4791
2016,13121007805,Atlanta,GA,29253,3279
2016,13121009200,Atlanta,GA,64902,3571
2016,13121007802,Atlanta,GA,46917,8194
2016,13121002400,Atlanta,GA,30000,6983
2016,13121009802,Atlanta,GA,142727,25079
2016,13121009102,Atlanta,GA,52339,25723
2016,13121007706,Atlanta,GA,39451,5821
2016,13121000600,Atlanta,GA,44554,4492
2016,13121002500,Atlanta,GA,23767,3001
2016,13121010211,Atlanta,GA,155469,55104
2016,13121007705,Atlanta,GA,20756,2427
2016,13121009801,Atlanta,GA,117422,34993
2016,13121007704,Atlanta,GA,31537,3544
2016,13121002600,Atlanta,GA,23598,4475
2016,13121009101,Atlanta,GA,73651,5790
2016,13089020802,Atlanta,GA,57422,10140
2016,13121007703,Atlanta,GA,40058,4781
2016,13121000700,Atlanta,GA,69722,21579
2016,13121002800,Atlanta,GA,21851,3584
2016,13121011800,Atlanta,GA,14068,2721
2016,13121007604,Atlanta,GA,15493,3407
2016,13121009000,Atlanta,GA,104459,3253
2016,13121007603,Atlanta,GA,13819,1912
2016,13121002900,Atlanta,GA,60083,6260
2016,13121010206,Atlanta,GA,184400,38038
2016,13121008904,Atlanta,GA,77055,13281
2016,13121007602,Atlanta,GA,31951,5790
2016,13121001001,Atlanta,GA,75556,21087
2016,13121003000,Atlanta,GA,89029,5296
2016,13121009700,Atlanta,GA,181250,36688
2016,13121007500,Atlanta,GA,20051,4981
2016,13089020500,Atlanta,GA,44960,9561
2016,13121007400,Atlanta,GA,17953,3267
2016,13121003100,Atlanta,GA,43170,7876
2016,13121008903,Atlanta,GA,64323,9260
2016,13089020900,Atlanta,GA,65008,9074
2016,13121007300,Atlanta,GA,22180,4342
2016,13121001002,Atlanta,GA,25882,11353
