UID,BuildingID,DataYear,City,State,ZipCode,BuildingType,PrimaryPropertyUse,YearBuilt,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
37,52,2015,Seattle,WA,98107,NonResidential,Office,1961,94900,63.7,69.6,161.3,165.9,6043853.0,6605535.0,0.0,4289697.0,1754334.0
38,53,2015,Seattle,WA,98144,NonResidential,Office,1900,52554,36.3,37.2,81.6,84.5,2137686.0,2192109.0,0.0,1226016.0,911721.0
39,54,2015,Seattle,WA,98103,NonResidential,K-12 School,1954,175015,40.5,49.1,74.6,85.8,7080118.0,8596269.0,0.0,2694187.0,4386042.0
40,55,2015,Seattle,WA,98121,NonResidential,Self-Storage Facility,1911,70586,30.5,33.7,79.6,82.0,2147062.0,2377595.0,0.0,1607511.0,539617.0
41,56,2015,Seattle,WA,98101,NonResidential,Hotel,1969,332210,44.9,44.9,121.0,121.0,15660628.0,15660628.0,0.0,12308680.0,3352459.0
42,57,2015,Seattle,WA,98101,NonResidential,Office,1973,168115,54.3,54.3,170.7,170.7,9213841.0,9213841.0,0.0,9214222.0,0.0
43,58,2015,Seattle,WA,98101,NonResidential,Retail Store,1920,57428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,59,2015,Seattle,WA,98101,NonResidential,Office,1910,59400,98.0,109.4,307.9,343.5,3915947.0,4369220.0,0.0,3916108.0,0.0
45,60,2015,Seattle,WA,98101,NonResidential,Other - Entertainment/Public Assembly,1926,52549,297.1,316.4,522.8,537.1,15583947.0,16598244.0,0.0,5294026.0,10290141.0
46,62,2015,Seattle,WA,98101,NonResidential,Hotel,1930,98634,69.7,73.8,201.1,213.8,6175812.0,6534220.0,0.0,5422999.0,753040.0
47,63,2015,Seattle,WA,98101,NonResidential,Hotel,1982,994212,85.9,89.3,187.3,191.6,85357952.0,88771488.0,16229832.0,45041634.0,24088353.0
48,65,2015,Seattle,WA,98101,NonResidential,Hotel,1985,71150,87.8,87.8,203.3,203.3,5040382.0,5040382.0,0.0,3053131.0,1987378.0
49,66,2015,Seattle,WA,98101,NonResidential,Hotel,1908,122810,41.4,50.8,65.7,75.6,5086863.0,6240104.0,0.0,1305729.0,3781188.0
50,67,2015,Seattle,WA,98109,NonResidential,Hotel,1959,113173,70.6,73.1,166.6,174.3,4988241.0,5160438.0,0.0,3125480.0,1862890.0
51,68,2015,Seattle,WA,98109,NonResidential,Hotel,2000,150453,60.8,62.6,131.7,133.4,6722886.0,6921805.0,0.0,3586563.0,3136472.0
52,69,2015,Seattle,WA,98109,NonResidential,Hotel,1997,116300,68.0,69.7,147.8,150.3,6014078.0,6169676.0,0.0,3238067.0,2776145.0
53,70,2015,Seattle,WA,98119,NonResidential,Hotel,1998,155602,44.4,44.1,108.0,106.8,6915293.0,6855303.0,0.0,4566435.0,2349046.0
54,73,2015,Seattle,WA,98136,NonResidential,K-12 School,1911,56072,55.4,72.3,78.7,98.6,3106930.0,4055974.0,0.0,550355.0,2556597.0
