UID,BuildingID,DataYear,City,State,ZipCode,BuildingType,PrimaryPropertyUse,YearBuilt,PropertyGFATotal,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ChilledWaterUse(kBtu),OtherFuelUse(kBtu)
39,103766,2014,Chicago,IL,60654,NonResidential,Office,1969,282343.0,114.0,112.0,280.0,278.0,0.0,21638044.0,10650291.0,0.0,0.0
40,103601,2014,Chicago,IL,60603,NonResidential,Office,1929,760892.0,72.0,69.0,133.0,130.0,0.0,21194744.0,22781363.0,10670916.0,0.0
41,101737,2014,Chicago,IL,60606,NonResidential,Office,1990,822563.0,143.0,0.0,450.0,0.0,0.0,117745800.0,0.0,0.0,80297.0
42,102532,2014,Chicago,IL,60617,NonResidential,Hospital (General Medical & Surgical),1960,369087.0,248.0,245.0,437.0,433.0,0.0,31138936.0,60536647.0,0.0,0.0
43,101867,2014,Chicago,IL,60606,NonResidential,Office,1974,648309.0,68.0,68.0,213.0,213.0,0.0,43907868.0,0.0,0.0,0.0
44,101838,2014,Chicago,IL,60606,NonResidential,Office,2003,778325.0,59.0,57.0,186.0,179.0,0.0,45974346.0,0.0,0.0,0.0
45,101846,2014,Chicago,IL,60606,NonResidential,Office,1985,789024.0,49.0,48.0,153.0,152.0,0.0,38408986.0,0.0,0.0,0.0
46,250115,2014,Chicago,IL,60602,NonResidential,Office,1870,411500.0,62.0,62.0,195.0,195.0,0.0,25482836.0,18930.0,0.0,0.0
47,101735,2014,Chicago,IL,60602,NonResidential,Retail Store,1879,1841736.0,77.0,73.0,155.0,151.0,0.0,65197622.0,76795831.0,0.0,0.0
48,250047,2014,Chicago,IL,60643,Specialty,K-12 School,1998,282100.0,111.0,106.0,210.0,203.0,0.0,12558013.0,18855691.0,0.0,0.0
49,101736,2014,Chicago,IL,60606,NonResidential,Office,2005,1687710.0,79.0,77.0,247.0,240.0,0.0,132535728.0,1044100.0,0.0,0.0
50,101919,2014,Chicago,IL,60603,NonResidential,Office,1895,372265.0,92.0,89.0,254.0,244.0,0.0,28121028.0,998634.0,5260553.0,0.0
51,112188,2014,Chicago,IL,60616,Specialty,K-12 School,1955,319937.0,99.0,97.0,137.0,135.0,0.0,5044007.0,26713862.0,0.0,0.0
52,100395,2014,Chicago,IL,60652,Specialty,College/University,1970,501591.0,65.0,62.0,129.0,126.0,0.0,14635361.0,17818961.0,0.0,0.0
53,102332,2014,Chicago,IL,60640,Specialty,College/University,1976,954142.0,56.0,52.0,113.0,109.0,0.0,24954300.0,28145123.0,0.0,0.0
54,101830,2014,Chicago,IL,60661,NonResidential,Office,2002,454346.0,84.0,83.0,261.0,256.0,0.0,37581474.0,721000.0,0.0,0.0
55,100730,2014,Chicago,IL,60607,NonResidential,Office,2000,527238.0,52.0,50.0,164.0,158.0,0.0,27485697.0,0.0,0.0,0.0
56,101547,2014,Chicago,IL,60616,NonResidential,Hospital (General Medical & Surgical),1968,750000.0,233.0,229.0,448.0,444.0,0.0,73172319.0,101254758.0,0.0,0.0
57,158133,2014,Chicago,IL,60654,NonResidential,Office,2009,1364257.0,71.0,69.0,213.0,205.0,0.0,90195435.0,6606325.0,0.0,67896.0
58,101910,2014,Chicago,IL,60601,NonResidential,Office,1920,445145.0,78.0,72.0,166.0,158.0,0.0,17944070.0,16537216.0,0.0,0.0
59,101757,2014,Chicago,IL,60604,NonResidential,Mixed Use Property,1973,3177981.0,74.0,72.0,135.0,133.0,0.0,87741252.0,113327886.0,34628436.0,0.0
60,101790,2014,Chicago,IL,60601,NonResidential,Office,1927,621000.0,91.0,85.0,199.0,192.0,0.0,30846172.0,25513900.0,0.0,0.0
