Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Year Built,Energy Audit Due Date,Energy Audit Status,Benchmark 2017 Status,2017 Reason for Exemption,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percentage Better than National Median Source EUI,2017 Total GHG Emissions (Metric Tons CO2e),2017 Total GHG Emissions Intensity (kgCO2e/ft2),2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
3515/037,252 12TH ST,252 12TH ST,94103,"252 12TH ST
SAN FRANCISCO, CA 94103",13152,Other,http://propertymap.sfplanning.org/?&search=3515/037,1968,2013-04-01T00:00:00.000,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3515/040,1690 FOLSOM ST,1690 FOLSOM ST,94103,"1690 FOLSOM ST
SAN FRANCISCO, CA 94103",57690,Retail Store,http://propertymap.sfplanning.org/?&search=3515/040,1953,2020-04-01T00:00:00.000,Upcoming,Complied,,Exempt,Tenant Turnover,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,90,23.2,73,-49.9,-49.9,69.9,1.8,23.2,73,,,,,,,,,,39,52,163.2,14,14,168.2,4.2,52,163.2,38,51.3,161.2,15.4,15.4,166.1,4.2,51.3,161.2,63,40.6,127.5,-15.4,-15.4,141.7,3.6,40.6,127.5,58,43.4,136.4,-10,-9.8,151.6,3.8,43.4,136.4,56,44.9,141,-8,-7.9,156.6,3.9,44.3,139
3517/016,245 11th Street,245 11TH ST,94103,"245 11TH ST
SAN FRANCISCO, CA 94103",19425,Urgent Care/Clinic/Other Outpatient,http://propertymap.sfplanning.org/?&search=3517/016,1917,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,23.5,63.8,-65.1,-65.1,32.5,1.7,24.4,64.7,,23.3,63.3,-65.4,-65.4,36.2,1.9,23.4,63.1,,22,63.3,-65.4,-65.4,33.3,1.7,21.9,62.3,,23.7,66.6,-63.6,-63.6,35.5,1.8,25.2,68.2,,80.4,214,-45.1,-45.1,41.6,6.4,78.3,211.8,,,,,,,,,,,,,,,,,,
3517/035,1401 HOWARD ST,1401 HOWARD ST,94103,"1401 HOWARD ST
SAN FRANCISCO, CA 94103",49011,Arts & Culture,http://propertymap.sfplanning.org/?&search=3517/035,1902,2021-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,Vacancy,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3518/002,220 9TH ST,220 9TH ST,94103,"220 9TH ST
SAN FRANCISCO, CA 94103",23805,Other,http://propertymap.sfplanning.org/?&search=3518/002,1924,2021-04-01T00:00:00.000,Upcoming,Exempt,Change in Ownership,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3519/001,1301 Folsom,1301 FOLSOM ST,94103,"1301 FOLSOM ST
SAN FRANCISCO, CA 94103",27000,Other,http://propertymap.sfplanning.org/?&search=3519/001,1942,2017-04-01T00:00:00.000,Did Not Comply,Violation - Did Not Report,,Violation - Insufficient Data,,Exempt,Vacancy,Exempt,Tenant Turnover,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.3,318.5,,,252.1,9.3,110.9,315.9,,111.1,340.9,58.7,,259.16,,112.8,347.5,,,,,,,,,
3519/005,360 9th St,350-360 9TH ST,94103,"350 360 9TH ST
SAN FRANCISCO, CA 94103",22800,Office,http://propertymap.sfplanning.org/?&search=3519/005,1920,2019-04-01T00:00:00.000,Exempt - ENERGY STAR,Complied,,Complied,,Complied,,Complied,,Exempt,Vacancy,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,96,36.5,100.3,-58.2,-58.2,59.6,2.6,,,87,58.1,140.1,-41.1,-41.1,99.4,4.4,57.7,138.7,86,55.4,136.2,-40.2,-40.2,91.2,4,55.4,136.2,96,26.4,65.4,-57.8,-57.8,43.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3519/006,364 9TH ST,364 9TH ST,94103,"364 9TH ST
SAN FRANCISCO, CA 94103",19050,Hotel,http://propertymap.sfplanning.org/?&search=3519/006,1955,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,39,154.4,284.2,8.9,8.9,105.3,9.5,157.4,291.9,36,153.3,289.6,12,12,112.9,10.2,154.9,292.1,38,160.3,283.8,9.7,9.7,111.5,10.1,164.9,291.1,39,156.6,280.1,9.4,9.4,109.3,9.9,166.4,298.7,35,163.6,299.2,13,13,115.2,10.4,158.3,289.9,,,,,,,,,,,,,,,,,,
3519/067,346 9TH ST,346 9TH ST,94103,"346 9TH ST
SAN FRANCISCO, CA 94103",25200,Office,http://propertymap.sfplanning.org/?&search=3519/067,1920,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Exempt,Vacancy,Exempt,Change in Ownership,Exempt,Change in Ownership,Exempt,Change in Ownership,Exempt,SqFt Not Subject This Year,63,59.5,185.8,-14.3,-14.3,113.4,4.5,59.5,185.8,64,59.1,181.3,-15.5,-15.5,127.5,5.1,59.1,181.3,89,38,116.1,,,76.9,3.1,38.6,116.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3520/027,355 11TH ST,355 11TH ST,94103,"355 11TH ST
SAN FRANCISCO, CA 94103",15000,Office,http://propertymap.sfplanning.org/?&search=3520/027,1906,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,1033.5,1106.9,647.7,647.7,762.8,54.5,1033.5,1106.9,,1167.3,1246.4,741.9,741.9,863.9,61.7,1167.3,1246.4,,1417.4,1512.6,921.7,921.7,1051.8,75.1,1417.6,1513.3,,1350.2,1439.8,872.5,872.5,1001.1,71.5,1350.7,1441.4,,1413.6,1507.8,918.4,918.1,1048.3,74.9,1414.5,1508.7,,,,,,,,,,,,,,,,,,
