Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Year Built,Energy Audit Due Date,Energy Audit Status,Benchmark 2017 Status,2017 Reason for Exemption,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percentage Better than National Median Source EUI,2017 Total GHG Emissions (Metric Tons CO2e),2017 Total GHG Emissions Intensity (kgCO2e/ft2),2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
0010/001,2801 Leavenworth Street,2801 LEAVENWORTH ST,94109,"2801 LEAVENWORTH ST
SAN FRANCISCO, CA 94109",133675,Office,http://propertymap.sfplanning.org/?&search=0010/001,1907,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,76,66.6,148.4,-27.8,-27.8,586.8,4.4,68.1,150.1,75,68.2,149.7,-26.3,-26.3,652.4,4.9,71.5,153.2,72,72,153.9,-23,-23,653.2,4.9,73.7,155.6,56,73.4,158.5,-6.5,-6.5,668.9,5,77.1,162.4,74,81.3,166.9,-26.2,-26.2,786.5,5.7,81.6,167.2,81,71,149.9,-34.5,,696.4,,70.7,149.7,,,,,,,,,
0010/002,Argonaut Hotel-SV,495 JEFFERSON ST,94109,"495 Jefferson St
SAN FRANCISCO, CA 94109",180000,Hotel,http://propertymap.sfplanning.org/?&search=0010/002,1907,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,79,60.8,121.2,-26.8,-26.8,693.6,3.9,60.8,121.2,77,59.6,122.5,-24,-24,743.6,4.1,59.4,121.8,84,58.1,122.6,-31.9,-31.9,708.1,3.9,57.8,121.8,79,63.6,129.5,-26.5,-26.5,763.1,4.2,63.6,129.5,78,67.9,136.1,-25.3,-25.3,844.7,4.7,67.9,136.1,95,55.9,115.1,-48,,704.18,,55.9,115.1,,,,,,,,,
0011/007,Anchorage Office,2800 LEAVENWORTH ST,94133,"2800 LEAVENWORTH ST
SAN FRANCISCO, CA 94133",121408,Mixed Use Property,http://propertymap.sfplanning.org/?&search=0011/007,0,2018-04-01T00:00:00.000,Pending - Contracted,Complied,,Exempt,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,,27.7,87.1,-29.3,-29.3,255.4,2.1,27.7,87.1,,,,,,,,,,,81.3,188.4,53,53,694.5,5.7,81.3,188.4,,73.8,173.3,40.8,40.8,634.3,5.2,73.8,173.3,,92.4,197.2,60.2,60.2,761.4,6.3,92.4,197.2,,92.2,196.6,59.7,59.7,759.2,6.3,92.2,196.6,,,,,,,,,
0011/008,Anchorage Garage,500 BEACH ST,94133,"500 BEACH ST
SAN FRANCISCO, CA 94133",198525,Strip Mall,http://propertymap.sfplanning.org/?&search=0011/008,1974,2018-04-01T00:00:00.000,Pending - Contracted,Complied,,Exempt,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,15.1,31.9,-86.1,-86.1,191,1,15.1,31.9,,,,,,,,,,,27,74.7,-68.5,-68.5,410.2,2.1,27,74.5,,27.5,76.9,-67.6,-67.6,419.6,2.1,27.5,76.9,,27.3,74.8,-68.5,-68.5,412.3,2.1,27.3,74.8,,25.9,72.3,-69.6,-69.6,395.1,2,25.9,72.3,,0,,,,83.82,,0,
0012/001,211 Jefferson St,2739 TAYLOR ST,94133,"2739 TAYLOR ST
SAN FRANCISCO, CA 94133",40052,Retail Store,http://propertymap.sfplanning.org/?&search=0012/001,1953,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Exempt,Tenant Turnover,Exempt,Tenant Turnover,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,38,68.5,176.5,14.8,14.8,191.2,4.8,68.5,176.5,40,63.8,167.7,12.3,12.3,200.7,5,63.8,167.7,40,66.3,172.6,12.2,12.2,197.2,4.9,65.8,171.1,,,,,,,,,,,,,,,,,,,43,35.2,117.5,8.8,,128.05,,35.2,117.5,,,,,,,,,
0012/007A,DiMaggio Building,243 JEFFERSON ST,94133,"243 JEFFERSON ST
SAN FRANCISCO, CA 94133",17311,Restaurant,http://propertymap.sfplanning.org/?&search=0012/007A,1937,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,193.8,309.7,-28.3,-28.3,198.2,11.4,193.8,309.7,,238.2,428.7,-0.8,-0.8,268.8,15.5,238.2,428.7,,250,466.8,8,8,278,16.1,250,466.8,,285.3,579.9,34.2,34.2,328.3,19,282.5,571.3,,308.4,598.7,38.6,38.6,348.3,20.1,309,599,,,,,,,,,,,,,,,,,,
0013/005,Savoy Corporation,2720 TAYLOR ST,94133,"2720 TAYLOR ST
SAN FRANCISCO, CA 94133",46962,Office,http://propertymap.sfplanning.org/?&search=0013/005,1974,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,39,64,176.9,12.1,12.1,215.6,4.6,65.3,178.4,42,61.2,168.8,8.8,8.8,231.8,4.9,61.2,168.8,37,67.1,181.6,15,15,238.4,5.1,67.1,181.6,38,64.1,177,13.7,13.7,229.9,4.9,65.8,178.8,45,63,167.9,5.6,5.6,222.1,4.7,63.1,168.1,72,65.3,184.6,-20.5,,252.87,,64.1,183.3,,,,,,,,,
0013/006,2770 TAYLOR ST,2770 TAYLOR ST,94133,"2770 TAYLOR ST
SAN FRANCISCO, CA 94133",40017,Mixed Use Property,http://propertymap.sfplanning.org/?&search=0013/006,1966,2022-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,113.4,229.9,86.7,86.7,289.3,7.2,115.4,231.9,,121.1,240.9,95.7,95.7,306.9,7.7,121.1,240.9,,123.1,246.5,100.2,100.2,312.7,7.8,122.2,243.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0013/009,2601 MASON ST,2601 MASON ST,94133,"2601 MASON ST
SAN FRANCISCO, CA 94133",30882,Hotel,http://propertymap.sfplanning.org/?&search=0013/009,1959,2022-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Exempt,Change in Ownership,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,57,124.8,183.1,-5.4,-5.4,114.3,7.2,131.2,189.8,55,124.2,183.3,-3.9,-3.9,113.9,7.2,132.1,191.6,57,120.4,182.9,-5.6,-5.6,111.3,7,125.9,188.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0671/009,Worldco Company - 1388 Sutter,1388 SUTTER ST,94109,"1388 SUTTER ST
SAN FRANCISCO, CA 94109",119943,Other,http://propertymap.sfplanning.org/?&search=0671/009,1986,2012-11-15T00:00:00.000,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0013/016,The Way Museum Building,145 JEFFERSON ST.,94133,"145 Jefferson St
SAN FRANCISCO, CA 94133",121481,Museum,http://propertymap.sfplanning.org/?&search=0013/016,0,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,123.2,332.8,291.1,291.1,1063.7,8.8,123.2,332.8,,109,277.6,226.1,226.1,1022.5,8.4,107.1,271.4,,113.4,292.6,243.8,243.8,1018.4,8.4,111.9,287.7,,119,305.5,259,259,1066.1,8.8,116.2,296.9,,117.1,296.3,248.2,248.2,1041.9,8.6,117.1,296.3,,117.2,319.7,275.6,275.6,1081.1,8.9,118.3,323.1,,93.3,292.8,244.1,244.1,923.7,7.6,94.4,296.5
0014/001,Radisson Fisherman's Wharf,250 BEACH ST,94133,"250 Beach Street
SAN FRANCISCO, CA 94133",220932,Hotel,http://propertymap.sfplanning.org/?&search=0014/001,1963,2018-04-01T00:00:00.000,Pending - Contracted,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,43,51.5,104.1,5.6,5.6,724.2,3.3,51.5,104.1,39,56.4,103.1,9.7,9.7,817.8,3.7,55.8,101.3,32,75,133.8,16.2,16.2,799.7,4.7,74.2,131.4,31,76.2,132.8,18,18,805.5,4.8,76.2,132.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
0018/001,One Beach Street,1 BEACH ST,94133,"1 BEACH ST
SAN FRANCISCO, CA 94133",97614,Office,http://propertymap.sfplanning.org/?&search=0018/001,1971,2018-04-01T00:00:00.000,Exempt - ENERGY STAR,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,90,53.3,121.5,-45.7,-45.7,346,3.5,55.4,122.7,90,52,121.6,-44.8,-44.8,375,3.8,55.3,125,91,49.6,118.6,-47,-47.1,345.4,3.5,51.7,120.8,92,50.4,116,-49,-49,345.1,3.5,50.4,116,76,76.7,166.9,-28.2,-28.2,512.2,5.2,76.7,166.9,,,,,,,,,,75,103.9,,-26.6,,718.63,,101,
0018/004,"2300 Stockton Street, LLC",2340 STOCKTON ST,94133,"2340 STOCKTON ST
SAN FRANCISCO, CA 94133",64530,College/University,http://propertymap.sfplanning.org/?&search=0018/004,1970,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,,71.1,137.5,-47.6,-47.6,198.6,4.5,74.8,142.9,,78.4,146.5,-44.2,-44.2,231.5,5.2,81.1,149.4,,82.8,165.9,-36.8,-36.8,243.6,5.5,87.7,171,,33.4,56.8,-78.4,-78.4,92.1,2.1,37.5,61.1,,62.5,88.6,-66.3,-66.3,164.8,3.7,62.8,88.9,,109.8,221.9,5.6,,338.35,,106.6,218.5,,118.3,,-3.4,,362.09,,117.1,
0018/005,100 NORTH POINT ST,100 NORTH POINT ST,94133,"100 NORTH POINT ST
SAN FRANCISCO, CA 94133",60000,Office,http://propertymap.sfplanning.org/?&search=0018/005,1969,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,62,116.7,233.6,-12.6,-12.6,444.3,7.4,119.3,236.5,68,101.5,213,-19.2,-19.2,426.2,7.1,106,217.8,64,108,227.7,-14.8,-14.8,437.5,7.3,109.3,227.5,71,92.3,205.2,-22.4,-22.4,382.4,6.4,94.4,204.7,67,104.9,219.1,-18.5,-18.5,423.3,7.1,104.9,219.1,,,,,,,,,,,,,,,,,,
0020/001,211 BEACH ST,2500 MASON STREET,94133,"2500 Mason Street
SAN FRANCISCO, CA 94133",405000,Hotel,http://propertymap.sfplanning.org/?&search=0020/001,0,2018-04-01T00:00:00.000,Pending - Waiting for Clarification,Data Not Verified,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,,,,,,,,93,51.6,99.9,-41.6,-41.6,1199.9,3.5,51.6,99.9,86,57.8,117.3,-32.7,-32.7,1324.3,3.8,57.8,117.3,82,60.4,122.5,-28.6,-28.6,1384,4,60.8,123.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021/001,400 NORTH POINT ST,400 NORTH POINT ST,94133,"400 NORTH POINT ST
SAN FRANCISCO, CA 94133",51656,Social/Meeting Hall,http://propertymap.sfplanning.org/?&search=0021/001,1958,2013-04-01T00:00:00.000,Did Not Comply,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,,43,81,16,16,84.7,2.7,47.6,87.9,,44.5,81.9,17.3,17.3,86.9,2.7,52.1,92.7,,38.9,78.2,11.9,11.9,81.4,2.6,41.8,82.6,,34,70.9,1.5,1.5,72.3,2.3,40.5,81,,46.7,88.1,26.1,26.1,95.3,3,47.3,88.9,,,,,,,,,,,,,,,,,,
0022/010,15571-HI SF Fisherman's Wharf Annex,475 BEACH ST,94133,"475 BEACH ST
SAN FRANCISCO, CA 94133",126250,Hotel,http://propertymap.sfplanning.org/?&search=0022/010,1983,2012-11-15T00:00:00.000,Did Not Comply,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,67,66.4,154.5,-15.2,-15.2,561.5,4.4,67.1,156.8,67,65.1,150.2,-15.5,-15.5,602.8,4.8,65.1,150.2,69,65.3,151.6,-16.8,-16.8,606.6,4.8,65.3,151.6,70,64.8,147.3,-17.5,-17.5,570.5,4.5,64.8,147.3,72,65.6,147.9,-19.8,-19.8,575.4,4.6,65.5,147.8,76,62,151.6,-23.5,,596.37,,63.7,153.4,77,62.4,,-24.6,,596.45,,63.4,
0022/012,580 NORTH POINT ST,580 NORTH POINT ST,94133,"580 NORTH POINT ST
SAN FRANCISCO, CA 94133",24022,Hotel,http://propertymap.sfplanning.org/?&search=0022/012,1900,2013-04-01T00:00:00.000,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0022/015,Holiday Inn Express - Fisherman's Wharf,455 BEACH ST,94133,"455 BEACH ST
SAN FRANCISCO, CA 94133",164650,Hotel,http://propertymap.sfplanning.org/?&search=0022/015,2001,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,52,60,136.5,-2.1,-2.1,531.1,4,60.5,135.2,48,60,136.7,1.3,1.3,582.2,4.4,61.5,135.8,42,59.5,137,6.5,6.5,555.9,4.2,59.5,135.1,39,59.7,136.7,9.5,9.5,556.2,4.2,60,134.4,38,64.8,143.7,9.8,9.8,625.7,4.7,64.3,142.2,55,62.1,143.9,-4.1,,612.59,,63.2,146.7,51,65,,-1.1,,640.49,,65.2,
0023/002,Euro Properties,505 BEACH ST,94133,"505 BEACH ST
SAN FRANCISCO, CA 94133",21630,Office,http://propertymap.sfplanning.org/?&search=0023/002,1950,2023-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,SqFt Not Subject This Year,,125.2,216.3,46.1,46.1,163.8,7.6,125.2,216.3,,62.8,123.6,-16.5,-16.5,92.2,4.3,73.2,134.4,,79.7,156,5.4,5.4,112.8,5.2,83.2,159.8,,104.9,203.4,37.4,37.4,148,6.8,112.7,211.6,38,77.4,142.3,13.1,13.1,112.2,4.9,78,143,,,,,,,,,,,,,,,,,,
0023/003,555 BEACH ST,555 BEACH ST,94133,"555 BEACH ST
SAN FRANCISCO, CA 94133",15706,Retail,http://propertymap.sfplanning.org/?&search=0023/003,1951,2014-04-01T00:00:00.000,Pending - Contracted,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0023/005,15571-HI SF Fisherman's Wharf,1300 COLUMBUS AVE,94133,"1300 COLUMBUS AVE
SAN FRANCISCO, CA 94133",154400,Hotel,http://propertymap.sfplanning.org/?&search=0023/005,1970,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,70,86.6,186.1,-18.1,-18.1,869.7,5.6,88.3,189.9,71,83.2,180.4,-19.2,-19.2,913.4,5.9,87.2,191.1,72,84.1,183.1,-19.4,-19.4,925.3,6,84.1,183.1,74,82.6,175.5,-21.7,-21.7,863.9,5.6,84.5,181.5,65,92.9,198.3,-13.3,-13.3,973.4,6.3,92.8,197.9,69,90.5,202.2,-17.2,,1015.72,,90.2,201.2,58,94.4,,-7.5,,1065.96,,92.9,
0024/012,"Hyde Hill Holdings, L.P.",2744 HYDE ST,94109,"2744 HYDE ST
SAN FRANCISCO, CA 94109",33000,Adult Education,http://propertymap.sfplanning.org/?&search=0024/012,1956,2022-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Exempt,SqFt Not Subject This Year,,34.3,89.6,-18.8,-18.8,77.7,2.4,35.1,90.4,,35,96.3,-31.9,-31.9,93,2.8,36.9,98.2,,35,99.8,-29.5,-29.5,89.6,2.7,35.6,100.4,,37.8,107.3,-24.1,-24.1,96.7,2.9,39.8,109.4,,50,128.2,-9.4,-9.4,121.6,3.7,50.2,128.4,,,,,,,,,,,,,,,,,,
0024/025,2750 HYDE ST,655 BEACH ST,94109,"655 Beach St
SAN FRANCISCO, CA 94109",132748,Office,http://propertymap.sfplanning.org/?&search=0024/025,1973,2020-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Insufficient Data,,Complied,,73,79.6,207.5,-21.1,-21.1,380.9,5.6,81.8,209.8,59,91.2,236.8,-8.7,-8.7,486,7.1,89.4,231,72,81.6,206.9,-20.8,-20.8,408.6,6,80.3,203,74,78.3,201.6,-22,-22,395,5.8,81.3,201.9,78,78.9,194.7,-25.9,-25.9,390.2,5.7,79.1,194.9,,,,,,,,,,,,,,,,,,
0025/012,3040 LARKIN ST,3040 LARKIN ST,94109,"3040 LARKIN ST
SAN FRANCISCO, CA 94109",14198,Strip Mall,http://propertymap.sfplanning.org/?&search=0025/012,1925,2020-04-01T00:00:00.000,Upcoming,Complied,,Exempt,Vacancy,Exempt,New Construction,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,0.5,1.6,-99.3,-99.3,0.5,0,0.5,1.6,,,,,,,,,,,,,,,,,,,,63.8,117.9,-50.4,-50.4,57.9,4.1,74.1,128.8,,92,154.3,-35,-35,80.5,5.7,92.5,154.7,,,,,,,,,,,,,,,,,,
0025/014,781 Beach Street,781 BEACH ST,94109,"781 BEACH ST
SAN FRANCISCO, CA 94109",32776,Office,http://propertymap.sfplanning.org/?&search=0025/014,1912,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,94,22.2,58.7,-51.8,-51.8,51.3,1.6,23.2,59.8,,22.4,63.2,-57.3,-57.3,60,1.8,21.2,59.4,,23.3,66.8,-54.9,-54.9,59.4,1.8,23.3,66.8,,28.2,70.4,-52.5,-52.5,67.3,2.1,30.7,73,,38.3,79,-46.6,-46.6,84,2.6,38.6,79.2,,38.6,80.6,-45.6,-45.6,85,2.6,36.4,78.3,,,,,,,,,
0025/021,737 BEACH ST,737 BEACH ST,94109,"737 BEACH ST
SAN FRANCISCO, CA 94109",10450,Office,http://propertymap.sfplanning.org/?&search=0025/021,1948,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,93,27.9,52,-50.5,-50.5,18.1,1.7,29.3,53.5,92,32,54.4,-47.9,-47.9,21.3,2,32.4,54.8,95,27.7,47.6,-54.2,-54.2,18,1.7,30.1,50.1,88,31.7,59.1,-42.3,-42.3,21.3,2,39.2,68.7,62,45.2,94.3,-13.2,-13.1,33.3,3.2,43.7,92.7,,,,,,,,,,,,,,,,,,
0130/039,649 GREEN ST,649 GREEN ST,94133,"649 GREEN ST
SAN FRANCISCO, CA 94133",19319,Retail,http://propertymap.sfplanning.org/?&search=0130/039,1907,2014-04-01T00:00:00.000,Did Not Comply,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0028/009,SFOFW,1250 COLUMBUS AVE,94133,"1250 COLUMBUS AVE
SAN FRANCISCO, CA 94133",204392,Hotel,http://propertymap.sfplanning.org/?&search=0028/009,0,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,78,65.4,140.9,-24.7,-24.7,775.4,4.3,65.4,140.9,78,61,136.6,-25.2,-25.2,802.7,4.4,61.9,137.5,76,68.3,155.2,-23.4,-23.4,859.8,4.8,67.7,153.4,68,61.8,143.4,-16.3,-16.3,889,4.3,61.8,143.4,63,75.4,156.2,-11.9,-11.9,1032.7,5.1,75.4,156.2,63,87.8,179.2,-11.8,,1252.9,,88.2,180.7,61,82.6,,-9.6,,1216.52,,81.7,
0029/003,2620 Jones St,590 BAY ST,94133,"590 BAY ST
SAN FRANCISCO, CA 94133",166777,Hotel,http://propertymap.sfplanning.org/?&search=0029/003,1974,2021-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,,Exempt,,87,55.9,135.7,-33.3,-33.3,515.9,3.8,55.9,135.7,87,53.3,131.7,-34,-34,549.1,4.1,53.3,131.7,88,53.7,133.2,-34.6,-34.6,528,3.9,53.3,132.1,86,56.1,134.4,-32.9,-32.9,542.8,4,56.1,134.4,77,66,156.9,-23.5,-23.5,636.4,4.7,66,156.9,77,66.6,158.2,-23.6,-23.6,642.3,4.7,67.2,158.8,,,,,,,,,
0029/007,Hyatt Fisherman's Wharf,555 NORTH POINT ST,94133,"555 NORTH POINT ST
SAN FRANCISCO, CA 94133",283765,Hotel,http://propertymap.sfplanning.org/?&search=0029/007,1990,2018-04-01T00:00:00.000,Pending - Waiting for Clarification,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,56,68.4,160.7,-5.5,-5.5,1090.4,4.6,68,159.4,48,72.9,167.3,1.1,1.1,1264.7,5.3,71.9,164.2,50,71.8,168.8,-0.8,-0.8,1205.2,5.1,71.5,168,45,74.7,173.1,4.1,4.1,1245.3,5.3,74.4,172.2,19,98.3,224.8,34.4,34.4,1773.9,6.9,98.3,224.8,61,66.9,161.5,-10.2,,1305.99,,67.7,164,57,70.1,,-7,,1367.28,,70.6,
0030/001,Hotel Zoe Fishermans Wharf,425 NORTH POINT ST,94133,"425 NORTH POINT ST
SAN FRANCISCO, CA 94133",113205,Hotel,http://propertymap.sfplanning.org/?&search=0030/001,1990,2019-04-01T00:00:00.000,Upcoming,Complied,,Complied,,Exempt,Change in Ownership,Complied,,Complied,,Complied,,Complied,,Complied,,90,62.3,132.5,-37.6,-37.6,396.8,4,62.3,132.5,83,73.5,146.3,-29.6,-29.6,492.7,5,73.5,146.3,,,,,,,,,,85,78.2,151.1,-31,-31,499.9,5.1,77.7,149.6,85,80.4,154.2,-31.5,-31.5,533.3,5.4,80.4,154.2,95,78.1,154.1,-44.7,,524.7,,78.1,154.1,95,79.3,,-45.2,,528.53,,79.3,
0030/008,Cost Plus Plaza,2552 TAYLOR ST,94133,"2552 TAYLOR ST
SAN FRANCISCO, CA 94133",111082,Mixed Use Property,http://propertymap.sfplanning.org/?&search=0030/008,0,2019-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8,139.6,13.4,13.4,277.2,3.7,45.8,139.6,,49.5,153.2,24.4,24.5,325.3,4.3,49.4,152.9,73,52.9,163.8,-24.3,,346.47,,52.7,163.7,,,,,,,,,
0030/012,Petco Building,2598 TAYLOR ST,94133,"2598 TAYLOR ST
SAN FRANCISCO, CA 94133",14400,Retail Store,http://propertymap.sfplanning.org/?&search=0030/012,1986,2019-04-01T00:00:00.000,Upcoming,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Exempt,SqFt Not Subject This Year,Exempt,SqFt Not Subject This Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,26.7,-76.7,-76.7,10.1,0.7,8.7,26.7,,27.2,84.6,-64.4,-64.4,34.2,2.4,27.2,84.6,,,,,,,,,,,,,,,,,,
