BuildingID,DataYear,BuildingType,City,State,ZipCode,YearBuilt,PropertyGFATotal,LargestPropertyUseType,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
22961,2017,Residential,Seattle,WA,98125,1992,21620,Senior Care,80.1999969482422,79.0999984741211,152.699996948242,150.100006103516,1957540.0,1928894.0,0.0,799235.090125,1158304.98046875
22962,2017,NonResidential,Seattle,WA,98133,1987,76105,Office,32.5,31.399999618530302,102.0,98.6999969482422,2471158.5,2393114.5,0.0,2471158.4865,0.0
22964,2017,Residential,Seattle,WA,98125,1989,21422,Multifamily,28.399999618530302,27.899999618530302,89.3000030517578,87.5999984741211,609191.1875,597573.875,0.0,609191.1150625,0.0
22971,2017,Residential,Seattle,WA,98102,1928,20384,Multifamily,32.0999984741211,32.0999984741211,50.2999992370605,50.2000007629395,654453.625,653339.125,0.0,161567.409734375,492885.986328125
22983,2017,Residential,Seattle,WA,98102,1977,20383,Multifamily,22.600000381469698,22.100000381469698,70.9000015258789,69.5,460104.0,451151.90625,0.0,460104.0949375,0.0
23006,2017,Residential,Seattle,WA,98125,1976,24288,Multifamily,26.7000007629395,26.100000381469698,83.6999969482422,82.0999984741211,647581.8125,635007.0,0.0,647581.5529375,0.0
23008,2017,NonResidential,Seattle,WA,98125,1952,32009,Non-Refrige,56.5,54.9000015258789,124.0,122.300003051758,2105726.25,2046821.25,0.0,1152538.093875,953187.98828125
23009,2017,Residential,Seattle,WA,98125,1979,24552,Multifamily,31.399999618530302,30.600000381469698,98.6999969482422,96.1999969482422,771415.3125,752209.6875,0.0,771415.348125,0.0
23010,2017,Residential,Seattle,WA,98125,1970,88340,Multifamily,44.9000015258789,44.2000007629395,121.5,119.199996948242,3966221.25,3900513.0,0.0,3143967.99425,822252.9296875
23017,2017,NonResidential,Seattle,WA,98125,1988,28841,Medical Off,53.4000015258789,52.9000015258789,119.099998474121,118.699996948242,1538702.75,1526491.625,0.0,870812.665875,667889.990234375
23020,2017,NonResidential,Seattle,WA,98125,1977,33344,Self-Storag,4.5,4.5,14.3000001907349,14.1000003814697,147140.59375,144813.40625,0.0,147140.44746875,0.0
23022,2017,Specialty,Seattle,WA,98125,2005,30498,Other - Rec,83.3000030517578,83.0,167.0,166.699996948242,2539036.0,2530673.0,0.0,1160944.942,1378091.015625
23025,2017,Residential,Seattle,WA,98125,1972,124904,Senior Care,54.2000007629395,53.2999992370605,143.899993896484,141.199996948242,6767544.5,6658925.0,0.0,5198650.297,1568894.04296875
23026,2017,Residential,Seattle,WA,98125,1989,44645,Multifamily,35.2000007629395,34.5999984741211,110.5,108.699996948242,1322882.625,1301142.25,0.0,1322882.51375,0.0
23028,2017,Residential,Seattle,WA,98121,1901,44104,Multifamily,27.2000007629395,26.7000007629395,85.3000030517578,83.6999969482422,1173677.75,1152049.5,0.0,1173677.45975,0.0
23031,2017,Residential,Seattle,WA,98116,1988,24711,Multifamily,27.2000007629395,27.0,85.3000030517578,84.5999984741211,671314.5,666058.125,0.0,671314.412,0.0
23040,2017,NonResidential,Seattle,WA,98106,1924,42975,K-12 School,43.0,41.7000007629395,60.4000015258789,58.9000015258789,920203.625,891521.625,0.0,156662.659734375,763540.966796875
