OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DefaultData,ComplianceStatus,Outlier
"21,883",2017,NonResidential,Worship Facility,Shoreline,102 N 132nd St,Seattle,WA,98133,2426039065,5,NORTHWEST,47.72558,-122.3578,1962,1,1,"22,047",0,"22,047","Parking, Worship Facility",Worship Fac,"22,898",Parking,0,,,,100,12.6000003814697,12.50,39.50,39.2999992370605,"288,320.59375","286,554",,"84,501.8984375","288,320.47746875",,,1.19281285635393,0.0541031821269982,N,Compliant,
"21,884",2017,Multifamily LR (1-4),Low-Rise Multifamily,Brentwood Square Apartments  Bldg C & D,13407 Greenwood Ave N,Seattle,WA,98133,2426039119,5,NORTHWEST,47.72687,-122.35607,1967,1,3,"116,143",,,Multifamily Housing,Multifamily,"113,346",,,,,,76,28.7000007629395,28.00,90.0999984741211,88.00,"3,253,950.75","3,177,486.75",,"953,678.3125","3,253,950.40225",,,13.4619431398608,0.115908346950405,N,Compliant,
"21,885",2017,Multifamily LR (1-4),Low-Rise Multifamily,45 North Apartments,13437 Greenwood Ave N,Seattle,WA,98133,2426039161,5,NORTHWEST,47.72762,-122.35611,1976,1,3,"44,656",,,Multifamily Housing,Multifamily,"44,656",,,,,,80,24.1000003814697,23.7000007629395,75.50,74.3000030517578,"1,074,131.25","1,056,204.875",,"314,809.8125","1,074,131.08025",,,4.44379592174615,0.0995117323930973,N,Compliant,
"21,886",2017,Multifamily LR (1-4),Low-Rise Multifamily,Brentwood Square Bldg A,13201 Greenwood Ave N,Seattle,WA,98133,2426039259,5,NORTHWEST,47.72526,-122.35608,1968,1,3,"26,159",,,Multifamily Housing,Multifamily,"25,950",,,,,,78,27.7000007629395,27.2000007629395,87.00,85.3000030517578,"719,110.375","704,580.875",,"210,759.203125","719,110.4010625",,,2.97503714982627,0.113729009129794,N,Compliant,
"21,893",2017,NonResidential,Warehouse,South Park,9125 10th Ave S,Seattle,WA,98108,2433700015,1,GREATER DUWAMISH,47.5213,-122.32182,1979,1,1,"31,600",0,"31,600",Non-Refrigerated Warehouse,Non-Refrige,"31,600",,,,,,3,119.00,116.300003051758,231.399993896484,228.699996948242,"3,759,360","3,675,358.5",,"471,929.5","1,610,223.454","21,491.36328125","2,149,136.328125",120.802298175272,3.82285753719215,N,Compliant,
"21,894",2017,NonResidential,Warehouse,821 WEARHOUSE,821 SO BARTON ST,SEATTLE,WA,98108,2433700068,1,GREATER DUWAMISH,47.52024,-122.32137,2007,1,1,"35,289",0,"35,289",Non-Refrigerated Warehouse,Non-Refrige,"35,289",,,,,,60,25.3999996185303,24.2999992370605,64.50,61.2000007629395,"897,374.875","856,977",,"186,862.5","637,574.85","2,598.00","259,800.00",16.4356937968267,0.46574552401107,N,Compliant,
"21,896",2017,NonResidential,Warehouse,PNP Properties Building,860 South Cambridge Street,Seattle,WA,98108,2433700074,1,GREATER DUWAMISH,47.51899,-122.321,1981,1,1,"28,920",0,"28,920",Non-Refrigerated Warehouse,Non-Refrige,"30,000",,,,,,34,78.00,75.6999969482422,112.00,109.599998474121,"2,340,332.5","2,270,358.5",,"126,679","432,228.748","19,081.037109375","1,908,103.7109375",103.127564952838,3.56596006060988,N,Compliant,
"21,897",2017,NonResidential,Warehouse,9243 10TH AVE S (ID21897),9243 10TH AVE S,Seattle,WA,98108,2433700075,1,GREATER DUWAMISH,47.5193,-122.3213,1978,1,1,"22,176",0,"22,176",Non-Refrigerated Warehouse,Non-Refrige,"22,176",,,,,,5,106.00,104.099998474121,144.899993896484,142.899993896484,"2,350,265.75","2,308,308.25",,"104,475","356,468.7","19,937.970703125","1,993,797.0703125",107.365311794214,4.84150937022973,N,Compliant,
"21,898",2017,NonResidential,Warehouse,Halfon Candy Company,9229 10th Avenue South,Seattle,WA,98108,2433700076,1,GREATER DUWAMISH,47.51968,-122.3212,1978,1,1,"31,300",0,"31,300",Non-Refrigerated Warehouse,Non-Refrige,"31,300",,,,,,91,12.8000001907349,12.3999996185303,29.7999992370605,29.3999996185303,"400,795.90625","389,663.90625",,"71,813.8984375","245,029.02146875","1,557.669921875","155,766.9921875",9.28649639712936,0.296693175627136,N,Compliant,
"21,902",2017,NonResidential,Warehouse,Samson,9228 10th Ave South,Seattle,WA,98108,2433700165,1,GREATER DUWAMISH,47.51918,-122.31957,1979,1,1,"22,000",0,"22,000","Non-Refrigerated Warehouse, Parking",Non-Refrige,"22,000",Parking,0,,,,14,33.7000007629395,33.7000007629395,105.800003051758,105.800003051758,"741,222.875","741,222.875",,"217,240","741,222.88",,,3.06651885585725,0.139387220720784,N,Compliant,
