BuildingID,DataYear,BuildingType,City,State,ZipCode,YearBuilt,PropertyGFATotal,LargestPropertyUseType,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
1,2015,NonResidential,Seattle,WA,98101,1927,"88,434",,78.9,80.3,173.5,175.1,6981428,7097539,2023032,3686160,1272388
2,2015,NonResidential,Seattle,WA,98101,1996,"103,566",,94.4,99.0,191.3,195.2,8354235,8765788,0,3905411,4448985
3,2015,NonResidential,Seattle,WA,98101,1969,"961,990",,96.6,99.7,242.7,246.5,73130656,75506272,19660404,49762435,3709900
8,2015,NonResidential,Seattle,WA,98121,1980,"119,890",,120.1,122.1,228.8,227.1,14829099,15078243,0,6066245,8763105
9,2015,Specialty,Seattle,WA,98101,1999,"97,288",,135.7,146.9,313.5,321.6,12051984,13045258,0,7271004,4781283
10,2015,NonResidential,Seattle,WA,98101,1926,"83,008",,76.9,79.6,149.5,158.2,6252842,6477493,0,2679698,3573255
11,2015,NonResidential,Seattle,WA,98101,1926,"102,761",,62.5,71.8,152.2,160.4,6426022,7380086,2003108,4108004,315079
12,2015,NonResidential,Seattle,WA,98104,1904,"163,984",,77.0,82.9,174.6,186.8,12633744,13589025,0,7355649,5278400
13,2015,Residential,Seattle,WA,98104,1910,"63,712",,81.7,92.7,178.1,190.8,4587231,5203458,1483476,2370050,733803
15,2015,NonResidential,Seattle,WA,98101,1969,"153,163",,101.1,107.2,200.8,205.2,14719853,15615929,3623542,6337531,4759044
16,2015,NonResidential,Seattle,WA,98101,1998,"333,176",,82.3,83.1,207.2,208.0,27717026,27970822,5426396,19058722,3232700
17,2015,NonResidential,Seattle,WA,98104,1928,"65,009",,104.7,96.8,166.5,158.2,6807227,6292213,1987163,1615057,3205074
18,2015,NonResidential,Seattle,WA,98101,1980,"315,952",,77.2,77.2,183.2,183.2,22811690,22811690,4731090,14090906,3990280
19,2015,NonResidential,Seattle,WA,98101,1922,"67,390",,166.1,175.7,317.4,326.0,10711451,11329230,4403788,4089407,2218425
21,2015,Specialty,Seattle,WA,98154,2004,"412,000",,46.0,45.3,140.8,137.6,16849234,16594622,703184,16146718,0
22,2015,NonResidential,Seattle,WA,98104,1930,"103,911",,79.5,83.4,173.7,178.4,10340282,10843936,4398022,5288219,654260
23,2015,NonResidential,Seattle,WA,98104,1983,"416,281",,95.5,97.4,231.9,234.7,33270518,33922016,0,21932264,11339166
24,2015,NonResidential,Seattle,WA,98104,1907,"57,452",,130.2,140.2,278.7,290.2,7481768,8052425,1755365,3773975,1952583
25,2015,NonResidential,Seattle,WA,98104,1916,"104,352",,75.2,74.9,119.5,118.6,7845112,7816594,3205497,1790665,2849024
26,2015,NonResidential,Seattle,WA,98104,1916,"540,360",,99.3,103.1,208.5,210.4,53332648,55378956,0,26798906,26534856
27,2015,NonResidential,Seattle,WA,98104,1985,"385,274",,132.1,136.1,245.5,243.9,50899248,52435544,0,19677268,31222797
28,2015,Specialty,Seattle,WA,98118,1961,"56,228",,25.1,29.6,59.2,63.9,1454222,1716043,0,911659,542600
29,2015,NonResidential,Seattle,WA,98105,2001,"88,592",,66.9,66.3,151.5,149.7,3880806,3848493,0,2254751,1626149
30,2015,NonResidential,Seattle,WA,98121,1928,"126,593",,78.3,90.9,158.9,172.1,9791557,11360926,0,4582663,5209084
31,2015,NonResidential,Seattle,WA,98101,1930,"67,224",,20.7,20.7,64.9,64.9,1388717,1388717,0,1388775,0
32,2015,NonResidential,Seattle,WA,98101,1991,"158,676",,44.0,46.3,55.7,58.1,5159342,5421759,0,532747,4626617
33,2015,NonResidential,Seattle,WA,98101,2001,"171,866",,85.5,86.7,183.3,180.9,11026945,11178456,0,5763595,5263590
34,2015,Specialty,Seattle,WA,98112,1955,"126,351",,49.7,64.4,84.2,102.4,6283226,8131874,0,1933106,4350200
35,2015,NonResidential,Seattle,WA,98121,1978,"68,410",,90.5,90.5,194.1,194.1,4341706,4341706,0,2276244,2065556
36,2015,Specialty,Seattle,WA,98125,1949,"160,645",,38.9,50.9,62.6,77.2,6387710,8362498,0,1709681,4678100
