RID,BuildingID,DataYear,BuildingType,City,State,ZipCode,YearBuilt,PropertyGFATotal,LargestPropertyUseType,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu)
47,63,2015,NonResidential,Seattle,WA,98101,1982,994212,,85.9,89.3,187.3,191.6,85357952,88771488,16229832,45041634,24088353
48,65,2015,NonResidential,Seattle,WA,98101,1985,71150,,87.8,87.8,203.3,203.3,5040382,5040382,0,3053131,1987378
49,66,2015,NonResidential,Seattle,WA,98101,1908,122810,,41.4,50.8,65.7,75.6,5086863,6240104,0,1305729,3781188
50,67,2015,NonResidential,Seattle,WA,98109,1959,113173,,70.6,73.1,166.6,174.3,4988241,5160438,0,3125480,1862890
51,68,2015,NonResidential,Seattle,WA,98109,2000,150453,,60.8,62.6,131.7,133.4,6722886,6921805,0,3586563,3136472
52,69,2015,NonResidential,Seattle,WA,98109,1997,116300,,68,69.7,147.8,150.3,6014078,6169676,0,3238067,2776145
53,70,2015,NonResidential,Seattle,WA,98119,1998,155602,,44.4,44.1,108,106.8,6915293,6855303,0,4566435,2349046
54,73,2015,NonResidential,Seattle,WA,98136,1911,56072,,55.4,72.3,78.7,98.6,3106930,4055974,0,550355,2556597
55,77,2015,NonResidential,Seattle,WA,98109,1999,122942,,67.6,68,135.3,136.5,5276777,5306165,0,2400660,2876216
56,82,2015,NonResidential,Seattle,WA,98122,1962,54984,,63.7,71.3,149.8,157.8,3504957,3921971,0,2181293,1323754
57,84,2015,NonResidential,Seattle,WA,98126,1922,217603,,153.5,170.9,246.4,264.6,45494324,50629892,0,12080722,33414103
58,85,2015,NonResidential,Seattle,WA,98133,1970,93397,,175.3,180.8,313.8,320.7,16371764,16886622,0,5797976,10574028
59,86,2015,NonResidential,Seattle,WA,98109,2008,84103,,62.8,63.8,164.1,164,3979132,4045411,0,2975816,1003439
60,89,2015,NonResidential,Seattle,WA,98122,1965,179014,,105.4,110.9,221.6,224,18868768,19858448,0,9501003,9368159
61,95,2015,NonResidential,Seattle,WA,98104,1908,76631,,94.4,93.9,175,173.4,7231928,7192445,0,2784090,4447953
62,96,2015,NonResidential,Seattle,WA,98104,1983,187600,,201.5,203.8,509.3,502.9,15240688,15416397,4816083,10425038,0
63,98,2015,NonResidential,Seattle,WA,98109,1929,58320,,14.9,19.2,26.6,31.5,1074180,1383366,0,376328,697867
64,100,2015,NonResidential,Seattle,WA,98109,2010,316306,,46.3,46.7,139.3,139.8,13300859,13429220,0,12471183,830194
65,102,2015,NonResidential,Seattle,WA,98109,1990,282863,,79.9,85.3,178.1,186.6,18829136,20123722,0,10638785,8190794
66,103,2015,Specialty,Seattle,WA,98109,1962,129000,,79.7,78.7,167.7,167.7,29337400,28974828,8560000,14312992,0
67,104,2015,Specialty,Seattle,WA,98109,1962,91213,,78,85.9,201.2,216.1,5069854,5580583,1270000,3622005,0
68,106,2015,Specialty,Seattle,WA,98109,1938,396085,,97.6,96.5,166.8,167.7,27185096,26880068,10951000,7964427,0
69,107,2015,NonResidential,Seattle,WA,98109,2010,571329,,66.8,66.7,184.6,184.3,41734776,41683652,0,34236747,7499452
70,110,2015,Specialty,Seattle,WA,98109,1962,49680,,50.6,49.4,102.4,101.3,2632472,2568666,1145000,1149520,0
72,112,2015,Specialty,Seattle,WA,98109,1928,262048,,70.4,70.4,174.1,179.7,20828130,20845160,3900000,13983710,0
73,113,2015,NonResidential,Seattle,WA,98109,1986,66240,,77.8,77.8,244.4,244.4,4329966,4329966,0,4330148,0
74,114,2015,NonResidential,Seattle,WA,98109,2010,920598,,49.9,52.8,133.3,133,36681188,38835684,0,28483019,8199352
75,115,2015,NonResidential,Seattle,WA,98033,1970,76213,,64.8,66.8,183.3,189.4,3303553,3402840,0,2809470,494199
76,116,2015,NonResidential,Seattle,WA,98109,2002,117738,,84.4,87.5,186.9,196.8,5061274,5249742,0,2820414,2240976
77,117,2015,NonResidential,Seattle,WA,98105,1962,50017,,111.4,114.3,207.1,210,5570472,5717357,0,2156751,3413811
78,118,2015,Specialty,Seattle,WA,98106,1999,74468,,24.9,26.9,70.9,76.9,1857329,2001478,0,1591795,265600
79,119,2015,NonResidential,Seattle,WA,98112,1923,67743,,34,35.2,74.7,78.6,2303288,2385958,0,1265357,1037984
80,120,2015,NonResidential,Seattle,WA,98112,1908,194104,,30.3,38.8,51.2,61.5,5889882,7540875,0,1795343,4094613
81,121,2015,NonResidential,Seattle,WA,98144,2003,99433,,69.7,72.9,218.9,228.8,4439034,4640342,0,4439217,0
82,122,2015,Specialty,Seattle,WA,98144,1991,58933,,35.4,40.7,111.2,127.9,2150120,2473493,0,2150209,0
83,125,2015,Specialty,Seattle,WA,98108,1957,130862,,44.7,57.4,81.3,97.8,5851209,7508759,0,2151598,3699700
84,127,2015,Specialty,Seattle,WA,98118,1989,59955,,25.4,28.6,76.3,84.9,1521329,1711759,0,1424088,97300
85,130,2015,Specialty,Seattle,WA,98119,1964,93218,,33,39.9,66.6,73.9,3072599,3718511,0,1426258,1646400
